selection file, result

1

[19940926, 19941126.0, 1.0, 1.0, 1.0, 1.0]
[19940925, 19941124.0, 1.0, 1.0, 1.0, 1.0]
[19940925, 19941112.0, 0.0, 1.0, 1.0, 1.0]
[19940925, 19941101.0, 0.0, 0.0, 1.0, 1.0]
[19940925, 19941019.0, 0.0, 0.0, 0.0, 1.0]
[19940925, 19941104.0, 0.0, 1.0, 0.0, 1.0]
[19940925, 19941022.0, 0.0, 1.0, 0.0, 0.0]
[19940925, 19941102.0, 0.0, 1.0, 1.0, 0.0]
[19940925, 19941117.0, 1.0, 0.0, 1.0, 1.0]
[19940925, 19941106.0, 1.0, 0.0, 0.0, 1.0]
[19940925, 19941024.0, 1.0, 0.0, 0.0, 0.0]
[19940925, 19941104.0, 1.0, 0.0, 1.0, 0.0]
[19940925, 19941117.0, 1.0, 1.0, 0.0, 1.0]
[19940925, 19941108.0, 1.0, 1.0, 0.0, 0.0]
[19940925, 19941117.0, 1.0, 1.0, 1.0, 0.0]
[19940924, 19941122.0, 1.0, 1.0, 1.0, 1.0]
[19940924, 19941110.0, 0.0, 1.0, 1.0, 1.0]
[19940924, 19941031.0, 0.0, 0.0, 1.0, 1.0]
[19940924, 19941018.0, 0.0, 0.0, 0.0, 1.0]
[19940924, 19940914.0, 0.0, 0.0, 0.0, 0.0]
[19940924, 19941016.0, 0.0, 0.0, 1.0, 0.0]
[19940924, 19941103.0, 0.0, 1.0, 0.0, 1.0]
[19940924, 19941021.0, 0.0, 1.0, 0.0, 0.0]
[19940924, 19941101.0, 0.0, 1.0, 1.0, 0.0]
[19940924, 19941112.0, 1.0, 0.0, 1.0, 1.0]
[19940924, 19941103.0, 1.0, 0.0, 0.0, 1.0]
[19940924, 19941019.0, 1.0, 0.0, 0.0, 0.0]
[19940924, 19941101.0, 1.0, 0.0, 1.0, 0.0]
[19940924, 19941116.0, 1.0, 1.0, 0.0, 1.0]
[19940924, 19941104.0, 1.0, 1.0, 0.0, 0.0]
[19940924, 19941112.0, 1.0, 1.0, 1.0, 0.0]
[19940923, 19941120.0, 1.0, 1.0, 1.0, 1.0]
[19940923, 19941109.0, 1.0, 0.0, 1.0, 1.0]
[19940923, 19941102.0, 1.0, 0.0, 0.0, 1.0]
[19940923, 19941018.0, 1.0, 0.0, 0.0, 0.0]
[19940923, 19941113.0, 1.0, 1.0, 0.0, 1.0]
[19940923, 19941111.0, 1.0, 1.0, 1.0, 0.0]
[19940921, 19941119.0, 1.0, 1.0, 1.0, 1.0]
[19940922, 19941102.0, 0.0, 1.0, 0.0, 1.0]
[19940922, 19941019.0, 0.0, 1.0, 0.0, 0.0]
[19940921, 19941108.0, 0.0, 1.0, 1.0, 1.0]
[19940921, 19941029.0, 0.0, 0.0, 1.0, 1.0]
[19940921, 19941016.0, 0.0, 0.0, 0.0, 1.0]
[19940921, 19940911.0, 0.0, 0.0, 0.0, 0.0]
[19940921, 19941014.0, 0.0, 0.0, 1.0, 0.0]
[19940921, 19941101.0, 0.0, 1.0, 0.0, 1.0]
[19940921, 19941018.0, 0.0, 1.0, 0.0, 0.0]
[19940921, 19941031.0, 0.0, 1.0, 1.0, 0.0]
[19940921, 19941108.0, 1.0, 0.0, 1.0, 1.0]
[19940921, 19941101.0, 1.0, 0.0, 0.0, 1.0]
[19940921, 19941030.0, 1.0, 0.0, 1.0, 0.0]
[19940921, 19941112.0, 1.0, 1.0, 0.0, 1.0]
[19940921, 19941103.0, 1.0, 1.0, 0.0, 0.0]
[19940921, 19941110.0, 1.0, 1.0, 1.0, 0.0]
[19940920, 19941115.0, 1.0, 1.0, 1.0, 1.0]
[19940920, 19941107.0, 0.0, 1.0, 1.0, 1.0]
[19940920, 19941028.0, 0.0, 0.0, 1.0, 1.0]
[19940920, 19941015.0, 0.0, 0.0, 0.0, 1.0]
[19940920, 19940910.0, 0.0, 0.0, 0.0, 0.0]
[19940920, 19941012.0, 0.0, 0.0, 1.0, 0.0]
[19940920, 19941031.0, 0.0, 1.0, 0.0, 1.0]
[19940920, 19941017.0, 0.0, 1.0, 0.0, 0.0]
[19940920, 19941030.0, 0.0, 1.0, 1.0, 0.0]
[19940920, 19941105.0, 1.0, 0.0, 1.0, 1.0]
[19940920, 19941031.0, 1.0, 0.0, 0.0, 1.0]
[19940920, 19941111.0, 1.0, 1.0, 0.0, 1.0]
[19940919, 19941113.0, 1.0, 1.0, 1.0, 1.0]
[19940919, 19941106.0, 0.0, 1.0, 1.0, 1.0]
[19940919, 19941026.0, 0.0, 0.0, 1.0, 1.0]
[19940919, 19941014.0, 0.0, 0.0, 0.0, 1.0]
[19940919, 19940909.0, 0.0, 0.0, 0.0, 0.0]
[19940919, 19941030.0, 0.0, 1.0, 0.0, 1.0]
