selection file, result

1



2



3

[19950227.0, 19950315, 1.0]
[19950300.0, 19950318, 1.0]

4

[19950308.0, 19950324, 1.0]
[19950310.0, 19950325, 1.0]
[19950311.0, 19950326, 1.0]
[19950305.0, 19950321, 1.0]
[19950306.0, 19950323, 1.0]

5

[19950312.0, 19950530, 1.0]
[19950313.0, 19950606, 1.0]
[19950314.0, 19950611, 1.0]
[19950315.0, 19950615, 1.0]
[19950316.0, 19950618, 1.0]
[19950317.0, 19950619, 1.0]
[19950318.0, 19950620, 1.0]
[19950319.0, 19950621, 1.0]
[19950320.0, 19950622, 1.0]
[19950321.0, 19950623, 1.0]
[19950322.0, 19950624, 1.0]
[19950324.0, 19950625, 1.0]
[19950325.0, 19950626, 1.0]
[19950305.0, 19950321, 1.0]
[19950315, 19950625, 1.0]

6

[19950312.0, 19950530, 1.0]
[19950313.0, 19950606, 1.0]
[19950314.0, 19950611, 1.0]
[19950315.0, 19950615, 1.0]
[19950316.0, 19950618, 1.0]
[19950317.0, 19950619, 1.0]
[19950318.0, 19950620, 1.0]
[19950319.0, 19950621, 1.0]
[19950320.0, 19950622, 1.0]
[19950321.0, 19950623, 1.0]
[19950322.0, 19950624, 1.0]
[19950324.0, 19950625, 1.0]
[19950325.0, 19950626, 1.0]
[19950305.0, 19950321, 1.0]
[19950315, 19950711, 1.0]

7

[19950312.0, 19950530, 1.0]
[19950313.0, 19950606, 1.0]
[19950314.0, 19950611, 1.0]
[19950315.0, 19950615, 1.0]
[19950316.0, 19950618, 1.0]
[19950317.0, 19950619, 1.0]
[19950318.0, 19950620, 1.0]
[19950319.0, 19950621, 1.0]
[19950320.0, 19950622, 1.0]
[19950321.0, 19950623, 1.0]
[19950322.0, 19950624, 1.0]
[19950324.0, 19950625, 1.0]
[19950325.0, 19950626, 1.0]
[19950305.0, 19950321, 1.0]
[19950315, 19950725, 1.0]

8

[19950312.0, 19950530, 1.0]
[19950313.0, 19950606, 1.0]
[19950314.0, 19950611, 1.0]
[19950315.0, 19950615, 1.0]
[19950316.0, 19950618, 1.0]
[19950317.0, 19950619, 1.0]
[19950318.0, 19950620, 1.0]
[19950319.0, 19950621, 1.0]
[19950320.0, 19950622, 1.0]
[19950321.0, 19950623, 1.0]
[19950322.0, 19950624, 1.0]
[19950324.0, 19950625, 1.0]
[19950325.0, 19950626, 1.0]
[19950305.0, 19950321, 1.0]
[19950315, 19950807, 1.0]
